Fecha,Oficina,N_Doc,Descripcion,Debito,Credito,Saldo
27-abr,901,83416025,INTERES A SU FAVOR,0.00,6.25,1141.02
27-abr,12,23199804,TRANSFERENCIA INTERNET,22.00,0.00,1119.02
27-abr,12,34021911,TRANSFERENCIA INTERNET,14.00,0.00,1105.02
27-abr,12,61923204,TRANSFERENCIA INTERNET,16.00,0.00,1089.02
27-abr,12,64702418,TRANSFERENCIA INTERNET,9.00,0.00,1080.02
27-abr,12,82993531,TRANSFERENCIA INTERNET,5.50,0.00,1074.52
27-abr,901,6276208,CR AH PROGRAMADO,0.00,52.00,1126.52
28-abr,12,6610723,TRANSFERENCIA INTERNET,0.00,205.00,1331.52
04-may,12,54168489,TRANSFERENCIA INTERNET,8.00,0.00,1323.52
04-may,12,10298201,TRANSFERENCIA INTERNET,11.00,0.00,1312.52
04-may,12,24787740,TRANSFERENCIA INTERNET,6.00,0.00,1306.52
04-may,12,28333495,TRANSFERENCIA INTERNET,4.00,0.00,1302.52
05-may,12,78916510,TRANSFERENCIA INTERNET,7.00,0.00,1295.52
06-may,12,33194841,TRANSFERENCIA INTERNET,6.00,0.00,1289.52
08-may,12,43577308,TRANSFERENCIA INTERNET,28.00,0.00,1261.52
11-may,12,25180452,TRANSFERENCIA INTERNET,12.00,0.00,1249.52
11-may,12,32796015,TRANSFERENCIA INTERNET,1120.00,0.00,129.52
11-may,12,33348822,TRANSFERENCIA INTERNET,35.00,0.00,94.52
11-may,12,33889310,TRANSFERENCIA INTERNET,28.00,0.00,66.52
11-may,12,37479231,TRANSFERENCIA INTERNET,60.00,0.00,6.52
11-may,12,13098620,TRANSFERENCIA INTERNET,0.00,1185.00,1191.52
11-may,12,16914563,TRANSFERENCIA INTERNET,11.00,0.00,1180.52
12-may,12,38987906,TRANSFERENCIA INTERNET,48.00,0.00,1132.52
12-may,12,42845311,TRANSFERENCIA INTERNET,32.00,0.00,1100.52
13-may,12,7303205,TRANSFERENCIA INTERNET,9.00,0.00,1091.52
13-may,12,51230714,TRANSFERENCIA INTERNET,11.00,0.00,1080.52
14-may,12,29513208,TRANSFERENCIA INTERNET,29.00,0.00,1051.52
15-may,12,34410012,TRANSFERENCIA INTERNET,98.00,0.00,953.52
18-may,12,28458011,TRANSFERENCIA INTERNET,0.00,12.00,965.52
18-may,12,28492426,TRANSFERENCIA INTERNET,18.00,0.00,947.52
18-may,12,89325271,TRANSFERENCIA INTERNET,12.00,0.00,935.52
18-may,12,12325963,TRANSFERENCIA INTERNET,68.00,0.00,867.52
21-may,12,31149942,TRANSFERENCIA INTERNET,4.00,0.00,863.52
21-may,12,59847561,TRANSFERENCIA INTERNET,9.00,0.00,854.52
21-may,12,62692448,TRANSFERENCIA INTERNET,12.00,0.00,842.52
21-may,12,62739031,TRANSFERENCIA INTERNET,0.00,11.00,853.52
21-may,12,62749963,TRANSFERENCIA INTERNET,18.00,0.00,835.52
26-may,12,30671942,TRANSFERENCIA INTERNET,22.00,0.00,813.52
26-may,12,44870615,TRANSFERENCIA INTERNET,6.00,0.00,807.52
26-may,12,66822763,TRANSFERENCIA INTERNET,28.00,0.00,779.52
26-may,12,10594034,TRANSFERENCIA INTERNET,42.00,0.00,737.52
26-may,12,11863918,TRANSFERENCIA INTERNET,18.00,0.00,719.52
26-may,12,20095516,TRANSFERENCIA INTERNET,3.00,0.00,716.52
27-may,12,21326195,TRANSFERENCIA INTERNET,2.00,0.00,714.52
27-may,12,59815463,TRANSFERENCIA INTERNET,6.00,0.00,708.52
28-may,12,6820754,TRANSFERENCIA INTERNET,4.00,0.00,704.52
28-may,12,31871943,TRANSFERENCIA INTERNET,2.50,0.00,702.02
29-may,12,63008195,TRANSFERENCIA INTERNET,9.00,0.00,693.02
03-jun,12,61209552,TRANSFERENCIA INTERNET,72.00,0.00,621.02
04-jun,12,63429255,TRANSFERENCIA INTERNET,9.00,0.00,612.02
08-jun,12,27486642,TRANSFERENCIA INTERNET,18.00,0.00,594.02
08-jun,12,50461631,TRANSFERENCIA INTERNET,21.00,0.00,573.02
15-jun,12,13792540,TRANSFERENCIA INTERNET,11.00,0.00,562.02
15-jun,12,14552805,TRANSFERENCIA INTERNET,98.00,0.00,464.02
16-jun,12,21838340,TRANSFERENCIA INTERNET,10.00,0.00,454.02
17-jun,12,7573791,TRANSFERENCIA INTERNET,3.00,0.00,451.02
17-jun,12,23367061,TRANSFERENCIA INTERNET,2.75,0.00,448.27
17-jun,12,61963642,TRANSFERENCIA INTERNET,18.00,0.00,430.27